area,codigo_programa,ies,nome_programa,inicio_mestrado,inicio_doutorado,conceito_atual,conceito_recomendado,conceito_ctc,conceito_rec,q2_q5,itens_q2_q5,itens_q3_q4,docentes_ano_2001_2003,docentes_ano_2004_2006,docentes_ano_2001_2006,Teses_2001_2003,Diss_2001_2003,Teses_2004_2006,Diss_2004_2006,Teses_2001_2006,Diss_2001_2006,di_te_2001_2003,di_te_2004_2006,di_te_2001_2006,egressos_mestrado_97_01,egr_m_tit_dou_97_01,n_esp_dout_97_01,escore_1,egressos_dout_97_03,egressos_doc_ppg_97_03,n_esp_doc_ppg_97_03,Escore_2,doc_ies_dif,perc_doc_dif_doc_ppg,bolsistas_prod,docentes,perc_bols_doc,Escore_3,DataHoraRegistro
13,31007015005P8,IME,ENGENHARIA MECÃ‚NICA,1973.0,,3,3,3.0,,3.25,3.04,2.707692308,22,37,59,0,14,0,15,0.0,29.0,,,,29.0,5.0,7.354,40.5941336,,,,,,0.0,1.0,12.0,8.333333333,22.93963789,2023-11-29 15:41:58.762555
13,15001016018P9,UFPA,ENGENHARIA MECÃ‚NICA,1994.0,,3,3,3.0,,2.8,2.81,2.676923077,27,60,87,0,11,0,34,0.0,45.0,,,,30.0,12.0,7.99,64.08944225,,,,,,0.0,2.0,17.0,11.76470588,28.58112402,2023-11-29 15:41:58.762555
13,33004056086P6,UNESP/BAU,ENGENHARIA DE PRODUÃ‡ÃƒO,2006.0,,3,3,3.0,,2.75,2.9175,2.623076923,0,16,16,0,0,0,0,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,,2023-11-29 15:41:58.762555
13,42002010004P4,UFSM,ENGENHARIA DE PRODUÃ‡ÃƒO,1974.0,,3,3,3.0,,2.65,2.795,2.623076923,70,67,137,0,157,0,164,0.0,321.0,,,,131.0,3.0,28.636,11.24236391,,,,,,0.0,1.0,24.0,4.166666667,17.0637271,2023-11-29 15:41:58.762555
13,40006018004P0,UTFPR,ENGENHARIA DE PRODUÃ‡ÃƒO,2004.0,,3,3,3.0,,3.05,2.9,2.561538462,0,47,47,0,0,0,44,0.0,44.0,,,,,,,,,,,,,0.0,0.0,14.0,0.0,,2023-11-29 15:41:58.762555
13,31033016003P5,UENF,ENGENHARIA DE PRODUÃ‡ÃƒO,1994.0,,3,3,2.0,3.0,3.0,2.85,2.446153846,41,37,78,0,33,0,28,0.0,61.0,,,,36.0,0.0,6.815,0.0,,,,,,0.0,0.0,10.0,0.0,,2023-11-29 15:41:58.762555
13,22001018050P0,UFC,LOGÃSTICA E PESQ. OPERACIONAL,2006.0,,3,3,3.0,,2.65,2.5475,2.015384615,0,10,10,0,0,0,0,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,,2023-11-29 15:41:58.762555
13,23001011021P2,UFRN,ENGENHARIA DE PRODUÃ‡ÃƒO,1999.0,,3,3,2.0,3.0,2.75,2.5375,1.984615385,29,66,95,0,36,0,79,0.0,115.0,,,,10.0,0.0,1.07,,,,,,,0.0,2.0,16.0,12.5,29.66915542,2023-11-29 15:41:58.762555
13,32003013003P2,UNIFEI,ENGENHARIA DE PRODUÃ‡ÃƒO,1994.0,,3,3,2.0,2.0,2.65,2.4725,1.830769231,27,40,67,0,46,0,52,0.0,98.0,,,,40.0,4.0,8.885,31.59361411,,,,,,0.0,1.0,7.0,14.28571429,32.174172,2023-11-29 15:41:58.762555
13,33051011006P0,UNIVAP,ENGENHARIA MECÃ‚NICA,2003.0,,3,2,2.0,2.0,2.4,2.3675,2.123076923,0,20,20,0,0,0,1,0.0,1.0,,,,,,,,,,,,,0.0,2.0,10.0,20.0,39.1904404,2023-11-29 15:41:58.762555
13,30001013011P7,UFES,ENGENHARIA MECÃ‚NICA,1996.0,,3,2,2.0,2.0,2.35,2.3625,1.661538462,23,43,66,0,17,0,22,0.0,39.0,,,,19.0,5.0,4.145,,,,,,,0.0,0.0,13.0,0.0,,2023-11-29 15:41:58.762555
14,31001017029P6,UFRJ,ENGENHARIA ELÃ‰TRICA,1966.0,1973.0,7,7,7.0,,5.0,4.83,4.815384615,92,118,210,34,70,49,173,83.0,243.0,2.058823529,3.530612245,2.927710843,141.0,18.0,35.638,33.92128059,65.0,12.0,19.965,31.62774987,10.0,83.33333333,29.0,40.0,72.5,86.57742665,2023-11-29 15:41:58.762555
14,33003017021P3,UNICAMP,ENGENHARIA ELÃ‰TRICA,1972.0,1972.0,6,7,7.0,,5.0,4.8525,4.907692308,264,241,505,103,208,107,217,210.0,425.0,2.019417476,2.028037383,2.023809524,339.0,68.0,87.825,43.83834212,263.0,100.0,87.685,58.94469522,90.0,90.0,36.0,91.0,39.56043956,66.51207267,2023-11-29 15:41:58.762555
14,31001017027P3,UFRJ,ENGENHARIA BIOMÃ‰DICA,1971.0,1982.0,6,7,7.0,,5.0,4.855,4.815384615,34,38,72,14,34,20,41,34.0,75.0,2.428571429,2.05,2.205882353,56.0,12.0,14.761,45.11080378,36.0,14.0,12.244,59.07446951,11.0,78.57142857,8.0,14.0,57.14285714,76.34650434,2023-11-29 15:41:58.762555
14,33002045010P1,USP/SC,ENGENHARIA ELÃ‰TRICA,1975.0,1997.0,6,6,6.0,,5.0,4.805,4.861538462,50,80,130,14,61,34,76,48.0,137.0,4.357142857,2.235294118,2.854166667,94.0,42.0,23.367,70.83789504,23.0,7.0,4.882,,2.0,28.57142857,11.0,19.0,57.89473684,72.59013157,2023-11-29 15:41:58.762555
14,24009016003P8,UFCG,ENGENHARIA ELÃ‰TRICA,1970.0,1979.0,6,6,6.0,,5.0,4.69,4.723076923,41,70,111,21,26,33,52,54.0,78.0,1.238095238,1.575757576,1.444444444,,,,,21.0,8.0,4.205,,6.0,75.0,8.0,16.0,50.0,74.30634166,2023-11-29 15:41:58.762555
