conceito_atual,conceito_ctc,conceito_rec,q2_q5,itens_q2_q5,itens_q3_q4,docentes_ano_2001_2003,docentes_ano_2004_2006,docentes_ano_2001_2006,Teses_2001_2003,Diss_2001_2003,Teses_2004_2006,Diss_2004_2006,Teses_2001_2006,Diss_2001_2006,di_te_2001_2003,di_te_2004_2006,di_te_2001_2006,egressos_mestrado_97_01,egr_m_tit_dou_97_01,n_esp_dout_97_01,escore_1,egressos_dout_97_03,egressos_doc_ppg_97_03,n_esp_doc_ppg_97_03,Escore_2,doc_ies_dif,perc_doc_dif_doc_ppg,bolsistas_prod,docentes,perc_bols_doc,Escore_3,sigla_IES,id_instituicao
5,4.0,4.0,4.2,3.985,3.85,39,47,86,0,19,4,26,4.0,45.0,,6.5,11.25,31.0,6.0,7.452,44.85672222,,,,,,,8.0,16.0,50.0,48.48215253,,
4,4.0,,4.0,4.24,4.225,68,100,168,0,10,0,23,0.0,33.0,,,,14.0,2.0,2.792,,,,,,,,13.0,32.0,40.625,42.85847165,,
4,4.0,4.0,4.3,4.325,4.175,29,63,92,3,3,4,13,7.0,16.0,1.0,3.25,2.285714286,12.0,6.0,3.419,,15.0,3.0,5.212,30.07860456,1.0,33.33333333,11.0,19.0,57.89473684,56.85560944,,
4,4.0,,4.1,4.16,4.025,40,51,91,0,13,0,17,0.0,30.0,,,,6.0,1.0,0.642,,,,,,,,6.0,13.0,46.15384615,43.64696422,,
4,4.0,4.0,4.3,4.285,4.0,29,42,71,1,5,1,10,2.0,15.0,5.0,10.0,7.5,7.0,5.0,1.916,,3.0,0.0,0.495,,0.0,,8.0,12.0,66.66666667,56.43310496,,
4,4.0,,3.4,3.83,3.95,46,55,101,3,19,16,24,19.0,43.0,6.333333333,1.5,2.263157895,30.0,11.0,7.383,63.8027359,3.0,2.0,0.642,,1.0,50.0,9.0,15.0,60.0,56.43310496,,
4,4.0,4.0,4.0,3.865,3.925,27,31,58,0,12,0,10,0.0,22.0,,,,22.0,9.0,4.364,,,,,,,,7.0,9.0,77.77777778,63.91870077,,
4,4.0,,3.8,4.1,3.85,28,41,69,0,10,0,23,0.0,33.0,,,,1.0,1.0,0.107,,,,,,,,2.0,14.0,14.28571429,12.65613794,,
4,4.0,,4.1,4.13,3.825,0,20,20,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
4,4.0,4.0,4.3,4.005,3.8,42,58,100,3,17,7,18,10.0,35.0,5.666666667,2.571428571,3.5,22.0,7.0,4.645,,14.0,3.0,5.291,29.5479101,1.0,33.33333333,7.0,19.0,36.84210526,43.64696422,,
3,4.0,,4.3,4.435,4.625,12,36,48,0,0,0,14,0.0,14.0,,,,,,,,,,,,,,8.0,13.0,61.53846154,50.37980801,,
3,4.0,,4.1,4.19,4.075,34,54,88,0,18,0,22,0.0,40.0,,,,27.0,12.0,6.539,71.65831671,,,,,,,4.0,15.0,26.66666667,30.21704252,,
3,4.0,,4.1,4.16,3.875,17,34,51,0,8,0,13,0.0,21.0,,,,,,,,,,,,,,2.0,11.0,18.18181818,17.4310507,,
3,4.0,,4.0,3.925,3.475,0,41,41,0,0,0,7,0.0,7.0,,,,,,,,,,,,,,4.0,14.0,28.57142857,27.84072638,,
5,3.0,,3.1,3.29,3.2,28,32,60,0,16,0,20,0.0,36.0,,,,19.0,7.0,4.244,,,,,,,,2.0,12.0,16.66666667,15.64907051,,
4,3.0,,3.5,3.71,3.2,49,86,135,0,10,0,16,0.0,26.0,,,,19.0,5.0,4.847,,,,,,,,6.0,25.0,24.0,28.0424482,,
3,3.0,,3.4,3.58,3.75,0,26,26,0,0,0,3,0.0,3.0,,,,,,,,,,,,,,2.0,12.0,16.66666667,15.64907051,,
3,3.0,,3.3,3.57,3.75,0,12,12,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
